
🚀 tier5: 140 files × 5 backends = 700 calls
📋 Checkpoint: 127 results already in tier5_live_full.jsonl
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0920_openssl.bin: GT=AES-128 PRED=AES-128 (30.7s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0484_openssl.bin: GT=AES-128 PRED=AES-128 (30.2s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-128_0172_pycryptodome.bin: GT=AES-128 PRED=DES (24.1s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0333_pycryptodome.bin: GT=AES-128 PRED=AES-128 (27.0s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0201_pycryptodome.bin: GT=AES-128 PRED=AES-128 (26.7s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-128_0518_pycryptodome.bin: GT=AES-128 PRED=3DES (28.7s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0519_pycryptodome.bin: GT=AES-128 PRED=AES-128 (37.0s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0391_pycryptodome.bin: GT=AES-128 PRED=AES-128 (26.0s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-128_0890_pycryptodome.bin: GT=AES-128 PRED=DES (46.2s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0924_pycryptodome.bin: GT=AES-128 PRED=AES-128 (35.5s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-128_0058_pycryptodome.bin: GT=AES-128 PRED=3DES (27.0s)
  ✅ [gpt-oss:120b-cloud] tier5 AES-128_0017_pycryptodome.bin: GT=AES-128 PRED=AES-128 (31.9s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0208_openssl.bin: GT=AES-256 PRED=3DES (28.6s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0741_openssl.bin: GT=AES-256 PRED=AES-128 (24.1s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0549_openssl.bin: GT=AES-256 PRED=AES-128 (29.7s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0902_openssl.bin: GT=AES-256 PRED=AES-128 (32.4s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0748_openssl.bin: GT=AES-256 PRED=AES-128 (24.4s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0222_openssl.bin: GT=AES-256 PRED=AES-128 (38.8s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0179_openssl.bin: GT=AES-256 PRED=AES-128 (34.7s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0005_openssl.bin: GT=AES-256 PRED=AES-128 (29.0s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0485_openssl.bin: GT=AES-256 PRED=DES (37.1s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0201_openssl.bin: GT=AES-256 PRED=AES-128 (22.7s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0481_pycryptodome.bin: GT=AES-256 PRED=AES-128 (28.0s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0746_pycryptodome.bin: GT=AES-256 PRED=AES-128 (37.8s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0588_pycryptodome.bin: GT=AES-256 PRED=AES-128 (26.5s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0742_pycryptodome.bin: GT=AES-256 PRED=AES-128 (22.8s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0076_pycryptodome.bin: GT=AES-256 PRED=ChaCha20 (35.3s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0865_pycryptodome.bin: GT=AES-256 PRED=AES-128 (35.0s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0946_pycryptodome.bin: GT=AES-256 PRED=AES-128 (31.1s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0374_pycryptodome.bin: GT=AES-256 PRED=AES-128 (22.8s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0385_pycryptodome.bin: GT=AES-256 PRED=AES-128 (37.4s)
  ❌ [gpt-oss:120b-cloud] tier5 AES-256_0136_pycryptodome.bin: GT=AES-256 PRED=AES-128 (26.3s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0240_openssl.bin: GT=ChaCha20 PRED=RSA-2048 (20.1s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0416_openssl.bin: GT=ChaCha20 PRED=3DES (20.2s)
  ✅ [gpt-oss:120b-cloud] tier5 ChaCha20_0461_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (31.3s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0980_openssl.bin: GT=ChaCha20 PRED=AES-128 (20.9s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0297_openssl.bin: GT=ChaCha20 PRED=AES-128 (28.2s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0851_openssl.bin: GT=ChaCha20 PRED=RSA-2048 (29.8s)
  ✅ [gpt-oss:120b-cloud] tier5 ChaCha20_0354_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (23.5s)
  ✅ [gpt-oss:120b-cloud] tier5 ChaCha20_0995_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (37.4s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0607_openssl.bin: GT=ChaCha20 PRED=AES-128 (44.9s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0823_openssl.bin: GT=ChaCha20 PRED=3DES (47.3s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0533_pycryptodome.bin: GT=ChaCha20 PRED=RSA-2048 (24.2s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0474_pycryptodome.bin: GT=ChaCha20 PRED=AES-128 (25.8s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0610_pycryptodome.bin: GT=ChaCha20 PRED=RSA-2048 (24.9s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0736_pycryptodome.bin: GT=ChaCha20 PRED=RSA-2048 (25.0s)
  ✅ [gpt-oss:120b-cloud] tier5 ChaCha20_0103_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (39.8s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0977_pycryptodome.bin: GT=ChaCha20 PRED=AES-128 (34.4s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0244_pycryptodome.bin: GT=ChaCha20 PRED=RSA-2048 (36.9s)
  ✅ [gpt-oss:120b-cloud] tier5 ChaCha20_0710_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (27.5s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0409_pycryptodome.bin: GT=ChaCha20 PRED=AES-128 (30.3s)
  ❌ [gpt-oss:120b-cloud] tier5 ChaCha20_0928_pycryptodome.bin: GT=ChaCha20 PRED=AES-128 (43.0s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0678_openssl.bin: GT=DES PRED=3DES (29.7s)
  ✅ [gpt-oss:120b-cloud] tier5 DES_0801_openssl.bin: GT=DES PRED=DES (24.0s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0948_openssl.bin: GT=DES PRED=3DES (20.4s)
  ✅ [gpt-oss:120b-cloud] tier5 DES_0663_openssl.bin: GT=DES PRED=DES (26.3s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0580_openssl.bin: GT=DES PRED=3DES (26.7s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0320_openssl.bin: GT=DES PRED=3DES (31.8s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0240_openssl.bin: GT=DES PRED=3DES (28.1s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0805_openssl.bin: GT=DES PRED=3DES (35.3s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0817_openssl.bin: GT=DES PRED=3DES (25.6s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0055_openssl.bin: GT=DES PRED=3DES (23.4s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0545_pycryptodome.bin: GT=DES PRED=3DES (33.0s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0325_pycryptodome.bin: GT=DES PRED=3DES (23.6s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0750_pycryptodome.bin: GT=DES PRED=3DES (30.0s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0734_pycryptodome.bin: GT=DES PRED=3DES (27.9s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0667_pycryptodome.bin: GT=DES PRED=3DES (26.2s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0277_pycryptodome.bin: GT=DES PRED=3DES (30.3s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0245_pycryptodome.bin: GT=DES PRED=3DES (28.8s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0218_pycryptodome.bin: GT=DES PRED=3DES (20.6s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0413_pycryptodome.bin: GT=DES PRED=3DES (42.7s)
  ❌ [gpt-oss:120b-cloud] tier5 DES_0174_pycryptodome.bin: GT=DES PRED=3DES (18.9s)
  ❌ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0941_openssl.bin: GT=ML-KEM-768 PRED=DES (20.8s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0783_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (17.6s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0128_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (16.9s)
  ❌ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0849_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (25.0s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0532_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (23.3s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0080_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (22.3s)
  ❌ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0686_openssl.bin: GT=ML-KEM-768 PRED=DES (20.9s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0490_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (20.3s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0360_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (22.7s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0483_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (19.8s)
  ❌ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0409_openssl.bin: GT=ML-KEM-768 PRED=3DES (20.6s)
  ❌ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0381_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (22.3s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0126_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (23.9s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0254_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (20.2s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0743_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (20.4s)
  ❌ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0590_openssl.bin: GT=ML-KEM-768 PRED=DES (25.6s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0147_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (25.6s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0494_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (29.8s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0523_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (16.7s)
  ✅ [gpt-oss:120b-cloud] tier5 ML-KEM-768_0237_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (24.0s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0310_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (27.5s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0490_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (31.8s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0062_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (26.1s)
  ❌ [gpt-oss:120b-cloud] tier5 RSA-2048_0162_openssl.bin: GT=RSA-2048 PRED=ChaCha20 (23.4s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0425_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (20.9s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0222_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (32.3s)
  ❌ [gpt-oss:120b-cloud] tier5 RSA-2048_0240_openssl.bin: GT=RSA-2048 PRED=3DES (34.5s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0058_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (18.4s)
  ❌ [gpt-oss:120b-cloud] tier5 RSA-2048_0156_openssl.bin: GT=RSA-2048 PRED=DES (21.4s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0835_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (22.2s)
  ❌ [gpt-oss:120b-cloud] tier5 RSA-2048_0422_pycryptodome.bin: GT=RSA-2048 PRED=AES-128 (35.9s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0207_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (20.4s)
  ❌ [gpt-oss:120b-cloud] tier5 RSA-2048_0178_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (25.2s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0694_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (24.5s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0961_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (20.9s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0052_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (25.2s)
  ❌ [gpt-oss:120b-cloud] tier5 RSA-2048_0934_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (21.6s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0353_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (32.2s)
  ✅ [gpt-oss:120b-cloud] tier5 RSA-2048_0901_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (36.8s)
  ❌ [gpt-oss:120b-cloud] tier5 RSA-2048_0262_pycryptodome.bin: GT=RSA-2048 PRED=3DES (27.8s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0251_openssl.bin: GT=3DES PRED=3DES (79.3s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0776_openssl.bin: GT=3DES PRED=3DES (68.5s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0102_openssl.bin: GT=3DES PRED=3DES (32.5s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0333_openssl.bin: GT=3DES PRED=3DES (28.8s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0116_openssl.bin: GT=3DES PRED=3DES (87.5s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0418_openssl.bin: GT=3DES PRED=3DES (80.7s)
  ❌ [nemotron-3-super:cloud] tier5 3DES_0388_openssl.bin: GT=3DES PRED=ChaCha20 (70.6s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0822_openssl.bin: GT=3DES PRED=3DES (39.7s)
  ❌ [nemotron-3-super:cloud] tier5 3DES_0370_openssl.bin: GT=3DES PRED=ChaCha20 (53.2s)
  ❌ [nemotron-3-super:cloud] tier5 3DES_0678_openssl.bin: GT=3DES PRED=ChaCha20 (28.4s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0742_pycryptodome.bin: GT=3DES PRED=3DES (49.2s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0548_pycryptodome.bin: GT=3DES PRED=3DES (45.7s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0709_pycryptodome.bin: GT=3DES PRED=3DES (59.3s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0547_pycryptodome.bin: GT=3DES PRED=3DES (14.3s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0421_pycryptodome.bin: GT=3DES PRED=3DES (54.3s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0880_pycryptodome.bin: GT=3DES PRED=3DES (51.8s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0493_pycryptodome.bin: GT=3DES PRED=3DES (47.4s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0896_pycryptodome.bin: GT=3DES PRED=3DES (38.0s)
  ✅ [nemotron-3-super:cloud] tier5 3DES_0447_pycryptodome.bin: GT=3DES PRED=3DES (111.3s)
  ❌ [nemotron-3-super:cloud] tier5 3DES_0927_pycryptodome.bin: GT=3DES PRED=DES (109.8s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0558_openssl.bin: GT=AES-128 PRED=AES-128 (86.3s)
  ❌ [nemotron-3-super:cloud] tier5 AES-128_0851_openssl.bin: GT=AES-128 PRED=DES (57.9s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0653_openssl.bin: GT=AES-128 PRED=AES-128 (114.1s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0121_openssl.bin: GT=AES-128 PRED=AES-128 (45.7s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0987_openssl.bin: GT=AES-128 PRED=AES-128 (77.1s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0385_openssl.bin: GT=AES-128 PRED=AES-128 (35.0s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0057_openssl.bin: GT=AES-128 PRED=AES-128 (63.6s)
  ❌ [nemotron-3-super:cloud] tier5 AES-128_0210_openssl.bin: GT=AES-128 PRED=ChaCha20 (30.0s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0920_openssl.bin: GT=AES-128 PRED=AES-128 (91.4s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0484_openssl.bin: GT=AES-128 PRED=AES-128 (64.3s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0172_pycryptodome.bin: GT=AES-128 PRED=AES-128 (55.6s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0333_pycryptodome.bin: GT=AES-128 PRED=AES-128 (109.9s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0201_pycryptodome.bin: GT=AES-128 PRED=AES-128 (39.9s)
  ✅ [nemotron-3-super:cloud] tier5 AES-128_0518_pycryptodome.bin: GT=AES-128 PRED=AES-128 (71.9s)
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-128_0519_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.5s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-128_0391_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.4s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-128_0890_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.3s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-128_0924_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.3s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-128_0058_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.4s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-128_0017_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.4s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-256_0208_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.4s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-256_0741_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.3s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-256_0549_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.3s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-256_0902_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.4s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-256_0748_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.4s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
    ⏳ 429, retry in 6s
    ⏳ 429, retry in 11s
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 AES-256_0222_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.4s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
